Бренд,Очищенный текст отзыва,ПолезностьRFC,ПолезностьXGB,Полезность
Бренд 18,первый опыт работа пряжа понравиться 💞 кардиганчик получаться мягкий нежный уходить  моток спица ,2,2,2
Бренд 25,"понравиться нанесение неприятный ощущение течение  минут щипеть хотя тело порез ран пользоваться течение неделя ничто изменяться итог отдавать масло ))
",1,2,0
Бренд 6,дополнительный отзыв добавлять жемчужный бусина ареола получаться красивый,1,1,1
Бренд 10,заказывать пряжа упаковывать пакетик заклеивать наклейка невозможно вскрывать вытаскивать моток сегодня муж заезжать пряжа сказать моток привозить никакой наклейка поехать обратно продавец пункт выдача помнить выдавать ничто мочь сделать личный кабинет надеяться честность вайлдбериз камера записывать вместо моток полагать первый вернуть пожалуйста деньги фото видно весь наклейка украсть просто пакетик приклеивать должно шов,2,2,2
Бренд 18,очень хороший пряжа нить ровный тонкий спица №    отлично №  ,2,2,1
Бренд 6,перезаказывать второй тк первый приходить холст отзыв ниже приходить отлично брать подарок,2,2,1
Бренд 16,пряжа очень понравиться,1,2,2
Бренд 24,шикарный пряжа лысый петля 😍,1,1,1
Бренд 21,очень хороший пряжа вязать плед чередование полоса светло-голубой темно-голубой цветок нить ровный разрыв вязать пряжа удовольствие,2,2,2
Бренд 56,качество идеальный изъян царапина дороговатый думать оно стоить читать отзыв каменный разбиваться приходить трещина скол очень часто решать экономить приобретать мед становиться рекомендовать,2,2,2
Бренд 16,цветовой последовательность клубок нарушать подбирать узор приходиться подумать это смотираться,1,1,0
Бренд 10,пряжа понравиться цвет именно хотеться уважаемый поставщик загружать вагон вайлдбериз наличие 😊,2,2,2
Бренд 22,очень хороший материал гладкий собираться течение  минута схема спасибо ваш труд,2,2,2
Бренд 90,"греть перезаказывать надеяться прийти рабочий оч холодно работа ))
",2,2,2
Бренд 90,хороший коврик пункт выдача перепугаться нагреваться нужный срочно переставлять розетка начинать греться дооом вообще прекрасно новорожденный щенок 🐶 отлично,2,2,1
Бренд 25,упаковка уровень плинтус зубной паста  рубль иметь мембрана масло  рубль иметь упаковка принцип колпачок качество содержимое оставаться надеяться сто никто наливать вода бутылочка 🤷 🏻 ‍ ♀ ️ считать производитель стоить задумываться следующий искать надежный упаковка,2,2,2
Бренд 16,хороший пряжа тонкий,2,1,1
Бренд 22,просто супер 😘 😘 😘 😘 рано знать,1,1,2
Бренд 24,приходить отличный состояние,2,1,1
Бренд 10,#VALID!,0,1,0
Бренд 21,пряжа супер цвет потрясать кардиган низко середина бедро уходить  моток размер   вязать кардиган коса ширина сильно стягивать получаться машинный стирка выдерживать стирка рука немного вытягиваться длина единственный минус каждый моток   узел попадаться,2,2,2
Бренд 3,цвет белый отличный качество легкий ткань отрез точность сантиметр,1,1,2
Бренд 24,пряжа хороший ложиться ровно использовать цвет зеленый белый нить спасибо,2,2,2
Бренд 18,приходить  моток супер цвет горчица,1,1,2
Бренд 2,"новый слобода ""- качество красота радость творчество",2,2,2
Бренд 2,шикарный триптих удовольствие вышивать,1,1,2
