ID отзыва,Дата,Номенклатура,Количество звезд,Бренд,Текст отзыва,Имя,Регион,Цвет,Размер,Полезность (количество минусов),Полезность (количество плюсов)
4,6/11/2021,Артикул 4,5,Бренд 4,"Полный комплект, ниток достаточно, много осталось, вышивается легко, рекомендую к покупке. Добавлю фото других наборов этой серии.",Ирина,RU,,0,0,0
7,6/11/2021,Артикул 7,5,Бренд 6,"Очень понравился набор! Бисер качественный, остается много! Рекомендую!",Наталья,RU,белый,0,0,0
8,6/11/2021,Артикул 8,5,Бренд 6,Очень красиво получилось,Наталья,RU,синий,0,0,0
21,5/11/2021,Артикул 21,5,Бренд 2,"Набор полный, целый, восхитительный! Открываешь коробочку, а в ней солнце, тепло, блеск, игра бисера! Превосходный набор. Любимая икона.",Маргарита,RU,белый,0,0,0
23,5/11/2021,Артикул 23,5,Бренд 14,"Заказывала серый сероголубой, пришел  синий васильковый, даже не распаковала., отказ, жаль потраченное время.",Ирина,RU,"серо-голубой, голубой",0,0,0
26,5/11/2021,Артикул 26,1,Бренд 10,"Нитки пришли в количестве 3 шт, отказ. Считаю данного продавца не добросовестным. Ранее были отзывы, и много о том, что от даного продавца приходят пряжа не в полном объеме. Продавец до сих пор не принял никаих мер. Он теряет время покупателей. Не рекомендую его",Элла,RU,светло-серый,0,1,1
28,5/11/2021,Артикул 28,3,Бренд 10,"Данный набор у меня больше половины года, каждый день не вяжу, но одна спица отклеилась от крепления(((неприятно.. в принципе вообще место соединения некачественное, края резьбы ровно не состыковываются.. и иногда раскручиваются во время вязания. Приходится периодически подкручивать.  Набор хороший для вязания, размеры спиц ходовые, но видимо некачественный.",Наталья,RU,коричневый,0,0,0
31,4/11/2021,Артикул 31,5,Бренд 10,Очень приятная пряжа. Спасибо!,Елена,RU,"кремовый, молочный, античный белый",0,0,1
33,4/11/2021,Артикул 33,5,Бренд 8,Потрясающая вышивка! Я в восторге от неё,Оксана,RU,белый,0,0,0
38,4/11/2021,Артикул 38,2,Бренд 6,"Пришло совершенно не то,заказала второй раз,жду",Ирина,RU,белый,0,0,0
