Текст отзыва,Полезность (количество минусов),Не устраивает качество товара,Не устраивает цена товара,Брак заводской / брак в результате транспортировки
"Нитки пришли в количестве 3 шт, отказ. Считаю данного продавца не добросовестным. Ранее были отзывы, и много о том, что от даного продавца приходят пряжа не в полном объеме. Продавец до сих пор не принял никаих мер. Он теряет время покупателей. Не рекомендую его",1,0,0,0
"Звезду снимаю за то что немного цвет темнее,чем на фото. Пряжа пришла быстро!",1,0,0,0
Цвет грязный не соответствует картинке сплошное разчарование,1,0,0,0
"Номер 47- пряжа хорошая, но сами мотки из разных партий пряжи.",1,0,0,0
Упаковка вскрыта. Один моток из двух украден.,1,0,0,0
"Цвет соответствует, очень мягкая !",1,0,0,0
"Цвет на самом дела оказался ярким, типа ярко-розовой фуксии. Поэтому отказ",1,0,0,0
"Пришла партия другого цвета, которая дешевле заказанной, но деньги взяли как за более дорогой товар. Вот и думай: то ли случайно, то ли преднамеренно. Ещё и за возврат 50 руб. сняли. За что?!!",1,0,0,0
"Пряжа отличная, но одна упаковка вскрыта , а другая- вместо 08 тона вложили 18- от этой упаковки отказалась, а ценник уже подняли.",1,0,0,0
"Цвет конечно не тот!! Обидно, ждала эту пряжу. Но всё равно оставила.",1,0,0,0
Вместо 5 мотков пришло только 3 мотка,1,0,0,0
"Мне понравилась пряжа! Правда при вязании из середины мотка путалась, а вернее длинными ворсинками спутывалась ,но легко можно разделить! При стирке запах шерсти! После высыхания все норм, нет запаха! Спасибо! Цвета очень нравятся!!",1,0,0,0
Доставили быстро. Цвет соответствует картинке.,1,0,0,0
"Смешно, конечно, но я связала шапку, и только потом поняла, что прислали другую пряжу, Drops Nepal mix. Цвет похожий, вот и взяла не рассматривая.",1,0,0,0
"заказывала мятный , пришел цвет темно-зеленый с сиеватым отлтвом. отказ",1,0,0,0
"Шикарная пряжа, цвет лаванда, паутинка получилась невесомая, а сама кофточка нежная и тëплая✅👍 заказала ещё в цвете мурена💞 цена адекватная
Спасибо!",1,0,0,0
"В упаковке пришло 3 мотка вместо 4, возврат.",1,0,0,0
Доставлен в пленке-пупырке цел без потеков.,1,0,0,0
"Пряжа понравилась, не знаю как в работе, но почему-то и кто- распаковывал, не знаюгде и на каком уровне занимаются этим , но очень неприятно!",1,0,0,0
"Пришел хорошо упакованный , ничего не счиплет никакого покалывания ,без запаха , как воду на голову нанесла , масло вообще не впитывается все стикает !подделка!!!!",1,0,0,0
Масло очень понравилось. Наносила когда болела голова. Помогло. Смывается хорошо.,1,0,0,0
"Чудо как хороша👍, на тёплую шапку поженила мохерчик с альпакой. Уже сейчас видно облако нежное, а уж после стирки....",1,0,0,0
"Очень мягкая, нежнейшая ниточка. Рекомендую!",1,0,0,0
Пришел со сломаным дозатором,1,0,0,0
"цвет 01, скорее молочный, чем белый, пришли хорошо упакованые 2 комплекта по 4 моточка, мягкие, вообще не колючие. Дропс мохер с шелком, ещё и альпаку Flora я уже опробовала,прекрасно себя ведут в глади, надеюсь эти тоже порадуют.",1,0,0,0
"Очень разочарована....Сама работа получилась красивая,бисера хватило.Что то с канвой не то.Впервые с таким столкнулась,после окончания работы стал виден перекос,правый нижний угол вниз ушел.Не рекомендую к покупке.",1,0,0,0
"Добрый день! 
Сразу заказала две упаковки по четыре моточка. Пришла только одна... Хорошо оплата по факту! В чём дело? Ждем вторую половину?",1,0,0,0
"Потрясающая пряжа. Приехал полный комплект, аккуратно упакован в зип-лок и дополнительно заклеен бумажным стикером. Моточки для своего веса объемные, один к одному, мягенькие. Цвет чуть темнее, теплее и натуральнее, чем на фото; мне так даже больше понравилось. Узлов пока не встретилось. Пушистость неравномерная, но на изделии незаметно. Вяжется легко, но распустить уже не получится. Пух не лезет. Вяжу в две нити крючком, резинку - 5мм, полотно - 6мм. Не просвечивает, очень тёплое, как будто сама пряжа выделяет тепло. Снаружи хорошо видно рельеф, шёлк чуть поблескивает. Изнутри образуется что-то вроде подкладки из пуха, мягкое, как пузико котёнка:) кошке, к сожалению, тоже понравилось: утыкается носом и впивается когтями так, что не отнять, приходится закрываться от неё, чтоб повязать:) это говорит о том, что пряжа действительно очень натуральная и ничем не обработана. Денег своих однозначно стоит, буду покупать остальные цвета:)",1,0,0,0
"Цвет 01., скорее молочный, вязаная в 1 нить на спицах 4,5, ушло 6 моточков. Изделие лёгкое, тёплое, приятно к телу, я довольна.",1,0,0,0
"Мне не понравилась смотрела внимательно фото с отзывами ровная пряжа, а мне пришла не равномерная на нитке то густо то пусто,из такой точнто  не свяжешь паутинку , угораздило заказать 8 шт, распечатала только дома тк было много народа в пункте выдачи, теперь не знаю как быть с этой покупкой",1,0,0,0
"Вместо овощной бульон,  пришёл уцхо-сунели",1,0,0,0
"Цветовая последовательность клубков нарушена. Чтобы подобрать узор придется подумать,как все это будет смотрется.",1,0,0,0
"Отличная вышивка, вышивать несложно, рекомендую леской",1,0,0,0
О результате говорить рано.,1,0,0,0
"Связала. Нет, что то мне не нравится. Мягкая, форму держит НО...И об ьяснить то не могу( УВЫ)",1,0,0,0
"Класс,очень нежно и расход маленький",1,0,0,0
"Жаль, что на упаковке не написан ни каунт, ни размер отреза... когда заказываешь несколько разных - приходится сверяться с заказом по коду или самим определять... и лежало у меня перед глазами 4 одинаковых пакетика... и думала я, гадала, какой из них положено подружке передать...",1,0,0,0
"Пряжа мягкая, тактильно приятная, но ангора не равномерно положена на шёлк, при вязании очень видно, где густо, где пусто. За это сняла звезду. Большой расход, на 46 размер джемпер в длину ещё только 45 см, уже ушло 3 мотка. Посмотрим как будет выглядеть после стирки",1,0,0,0
Даже с небольшим опытом вышивания получилась прекрасная работа!,1,0,0,0
"Пришёл совершенно другой набор! Был куплен в подарок. Если такой отзыв пишет не первый покупатель, тогда, может, стоит задуматься Wildberries  над сервисом?",1,0,0,0
"ОТВРАТИТЕЛЬНО! неужели не видно ,что вместо 5 вы 1 положили?!",1,0,0,0
"Масло классное, очень хорошо помогает от мышечных болей после физических нагрузок , так же хорошо помогает при головных болях ( втираю в виски и заднюю поверхность шеи) . Может ощущаться лёгкое покалывание после нанесения и появляется белый налет при высыхании. Налет можно стряхнуть одним движением руки.",1,0,0,0
"Приятная в вязании пряжа, не сыпется, петли ложатся ровно. Вяжу в две нити спицами # 4.5 - мне кажется это идеальное соотношение. Как изделие поведёт себя после ВТО пока не знаю, постараюсь дополнить отзыв после ВТО",1,0,0,0
